RyanairAirportsController constructor - Started
(0%) BRQ(-164140.0,-490905.0:0.0)
(1%) EXT(-32518.0,-504403.0:0.0)
(1%) SCQ(-82455.0,-425347.0:0.0)
(1%) TER(-270539.0,-384524.0:0.0)
(2%) VIT(-24345.0,-425247.0:0.0)
(2%) ZQW(-72402.0,-491234.0:0.0)
(2%) BRS(-24232.0,-512254.0:0.0)
(3%) BRU(-42904.0,-505405.0:0.0)
(3%) MXP(-84323.0,-453748.0:0.0)
(3%) OLB(-93104.0,-405355.0:0.0)
(4%) STN(-1400.0,-515300.0:0.0)
(4%) KTW(-190500.0,-502900.0:0.0)
(4%) RBA(-64525.0,-340300.0:0.0)
(5%) STR(-91319.0,-484124.0:0.0)
(5%) ZRH(-83306.0,-472730.0:0.0)
(5%) CDT(-300.0,-395900.0:0.0)
(6%) ZAZ(-10230.0,-413958.0:0.0)
(6%) BBU(-260600.0,-443000.0:0.0)
(6%) CUF(-73723.0,-443251.0:0.0)
(7%) AQJ(-350100.0,-293700.0:0.0)
(7%) BSL(-73148.0,-473524.0:0.0)
(7%) FKB(-80450.0,-484646.0:0.0)
(7%) TFN(-162030.0,-282858.0:0.0)
(8%) SDR(-34935.0,-432545.0:0.0)
(8%) TFS(-163421.0,-280240.0:0.0)
(8%) KUN(-240429.0,-545752.0:0.0)
(9%) LWO(-235100.0,-494900.0:0.0)
(9%) SUF(-161430.0,-385430.0:0.0)
(9%) EIN(-52320.0,-512712.0:0.0)
(10%) AAL(-95100.0,-570535.0:0.0)
(10%) BCN(-20442.0,-411749.0:0.0)
(10%) TGD(-191507.0,-422130.0:0.0)
(11%) AAR(-103708.0,-561800.0:0.0)
(11%) WMI(-203906.0,-522704.0:0.0)
(11%) OMR(-215411.0,-470139.0:0.0)
(12%) KVA(-243709.0,-405448.0:0.0)
(12%) GNB(-51947.0,-452146.0:0.0)
(12%) POZ(-164943.0,-522453.0:0.0)
(13%) TGM(-243200.0,-463200.0:0.0)
(13%) ARN(-175602.0,-593943.0:0.0)
(13%) LGW(-1148.0,-510853.0:0.0)
(14%) SEN(-4205.0,-513422.0:0.0)
(14%) BTS(-171300.0,-481000.0:0.0)
(14%) ABC(-15149.0,-385655.0:0.0)
(15%) CFE(-31003.0,-454709.0:0.0)
(15%) SVG(-53805.0,-585247.0:0.0)
(15%) ARW(-211600.0,-461100.0:0.0)
(16%) JTR(-252846.0,-362357.0:0.0)
(16%) TXL(-131744.0,-523338.0:0.0)
(16%) VLC(-2843.0,-392925.0:0.0)
(17%) SVQ(-55335.0,-372505.0:0.0)
(17%) ZTH(-205303.0,-374503.0:0.0)
(17%) BDS(-175653.0,-403938.0:0.0)
(18%) BUD(-191400.0,-472600.0:0.0)
(18%) CFU(-195442.0,-393607.0:0.0)
(18%) VLL(-45107.0,-414222.0:0.0)
(19%) GOA(-85015.0,-442448.0:0.0)
(19%) MJV(-4840.0,-374629.0:0.0)
(19%) ABZ(-21153.0,-571215.0:0.0)
(20%) CWL(-32048.0,-512351.0:0.0)
(20%) IBZ(-12222.0,-385225.0:0.0)
(20%) SFT(-210442.0,-643730.0:0.0)
(21%) ACE(-133613.0,-285615.0:0.0)
(21%) FMM(-101437.0,-475933.0:0.0)
(21%) LYS(-50454.0,-454332.0:0.0)
(21%) FMO(-74105.0,-520805.0:0.0)
(22%) RDZ(-23100.0,-442200.0:0.0)
(22%) CGN(-70834.0,-505157.0:0.0)
(22%) LIG(-11049.0,-455139.0:0.0)
(23%) BVA(-20645.0,-492721.0:0.0)
(23%) GOT(-121700.0,-574000.0:0.0)
(23%) TIA(-194300.0,-412501.0:0.0)
(24%) BER(-133001.0,-522201.0:0.0)
(24%) LIL(-30517.0,-503352.0:0.0)
